itemNumber,title,author,description,yearPublished,retailCost
182,Priceless Girl of Feast,Deck Dearden,Decentralized fresh-thinking installation,12/1/2009,$26.52
183,Sten,Dinny Gosling,Object-based discrete policy,9/26/2001,$16.65
184,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Jaymee Unsworth,Expanded regional attitude,7/8/1984,$31.45
185,Eve,Ron Caldron,Team-oriented foreground middleware,8/28/2005,$13.77
186,To Walk in Our Fathers Footsteps,Kittie Petrescu,Polarised well-modulated monitoring,10/26/1958,$53.15
187,Ghost Girl,Hadrian Byart,Monitored coherent model,2/11/2013,$17.00
188,Circus Circle,Ezra Shiel,Triple-buffered foreground hardware,8/15/1962,$53.78
189,Silent Screams,Shirlene Hazle,Public-key mission-critical concept,5/21/1965,$30.75
190,What the Best College Teachers Do,Bryn Dockery,Persevering value-added portal,4/2/2004,$7.50
191,I Am Providence: The Life and Times of H. P. Lovecraft,Page Felten,Progressive 24/7 hierarchy,4/21/1989,$54.27
192,The Man Who Loved Dogs,Sharron Kobelt,Monitored regional toolset,7/14/1985,$46.57
193,The Gambit of the Garden,Justin Grinikhin,Distributed bottom-line groupware,1/14/1952,$42.76
194,The Future of Power,Savina Balcombe,Adaptive optimal function,2/26/1962,$10.30
195,Above the Six Neighbors,Isidro Shailer,Profound actuating application,5/13/2010,$5.50
196,The Glass Castle,Melisandra Wrates,Reactive real-time adapter,10/16/1992,$34.51
197,Unseen,Blakeley Ilott,Universal next generation process improvement,8/6/1954,$12.81
198,Life Of Pi,Nellie Buckenham,Inverse solution-oriented projection,8/9/1966,$17.94
199,Saw to Ride,Germain Tunna,Programmable fault-tolerant protocol,4/7/1989,$17.30
200,The Retreat of the State,Deck Craft,Horizontal multimedia productivity,6/20/1950,$51.49
201,Silver Inverness of Coast,Aube Suthworth,Customizable hybrid superstructure,3/19/2009,$28.47
202,The New Daylight Coast,Bendick Zywicki,Synergistic reciprocal focus group,10/3/1953,$34.81
203,Dance of the Dragon,Charisse Idney,Fundamental value-added approach,12/19/1982,$6.45
204,Mine to Possess,Jori Milhench,Multi-lateral intangible algorithm,3/10/1956,$51.17
205,Daylight's Body,Carmine Tissier,Exclusive grid-enabled artificial intelligence,11/9/1997,$34.15
206,Waiting for Summer's Return,Siusan Roblou,Integrated non-volatile neural-net,6/13/2001,$54.45
207,Saw to Forget,Nonah Chilley,Public-key background superstructure,10/13/2017,$16.42
208,Escape: The True Story of the Only Westerner Ever to Escape from Thailand's Bangkok Hilton,Isidro Floch,Assimilated disintermediate structure,9/9/1975,$41.24
209,Quicksilver,Red Schimaschke,Reactive actuating moderator,7/16/2006,$47.18
210,Outbreak,Leighton McIlhone,Diverse exuding solution,3/16/1986,$47.33
211,Learning The World,Broderick Filyashin,Business-focused bifurcated Graphical User Interface,12/4/2009,$5.28
212,The Worthing Saga,Garek Skates,Progressive systematic matrix,11/29/1953,$20.29
213,Glory's Creek,Fernando Winterflood,Implemented regional flexibility,6/12/1959,$54.74
214,Chasing Temptation (a Chasing Love novel),Kaela Kindred,Extended real-time capacity,12/20/1950,$7.79
215,MacArthur: A Biography,Querida McLinden,Future-proofed modular extranet,12/5/1986,$30.08
216,Death of a Salesman,Welby Kinkade,Multi-layered hybrid database,9/7/1992,$43.43
217,Horde in the Patrol,Alia Cruess,Advanced uniform algorithm,5/20/1968,$31.08
218,Last Doctor On Unfaithful Sealed,Reginald Kearle,Advanced intangible help-desk,8/25/1961,$16.58
219,A Kill in the Morning,Lovell Tunniclisse,Innovative hybrid initiative,2/2/1993,$45.68
220,The Place of Dead Roads,Claribel Graddon,Inverse radical initiative,11/4/2010,$32.17
221,The Burning Room,Mab Batkin,De-engineered multi-state forecast,6/28/2000,$51.02
222,The Light in High Places: A Naturalist Looks at Wyoming Wilderness,Kerby Scotchbourouge,Quality-focused responsive application,10/10/1976,$51.38
223,Fought Bloodline,Ruthie Lympenie,De-engineered zero tolerance orchestration,9/20/2008,$47.96
224,Ward Against Disaster (Entangled Teen),Pierre Morrott,Expanded empowering implementation,2/28/1981,$45.92
225,Blade Silver: Color Me Scarred,Horatio Eunson,Visionary human-resource standardization,12/28/2017,$15.25
226,The Health that Killed the Flame,Bartram Danelutti,Robust didactic system engine,1/20/2003,$13.84
227,Regeneration,Gena Colwell,Polarised value-added alliance,2/14/1962,$22.29
228,Act Like a Lady,Darill Hubery,Cloned even-keeled toolset,7/8/1995,$50.89
229,The Emergence of Cinema,Darda MacCaughey,User-friendly methodical interface,6/15/1966,$18.58
230,The Jungle and the Magic,Cyrille McGorman,User-centric stable budgetary management,9/21/1969,$20.92
231,The Foundations of Social Research,Nap Lower,Visionary system-worthy support,9/1/1965,$13.06
232,The Causal Angel,Mareah Aimson,Optimized 6th generation approach,11/22/1995,$43.51
233,Tower of Houdini,Eberhard Cason,Reverse-engineered methodical local area network,5/28/2006,$23.04
234,Perl Cookbook,Brear Gummer,Re-engineered zero tolerance leverage,11/3/1963,$6.83
235,Tricked Cthulhu,Levon Lafford,Centralized global parallelism,6/24/2014,$35.69
236,The Edible Muddy Gurov,Natalee Dadswell,Multi-channelled bandwidth-monitored throughput,5/6/1955,$41.45
237,Night At Atomic Doctor,Oralee Joselevitz,Sharable client-server service-desk,2/26/1998,$39.14
238,The Heroic Life of George Gissing,Minerva Dyers,Adaptive upward-trending info-mediaries,1/25/1995,$53.62
239,In Total Surrender,Maia Feldmann,Proactive actuating local area network,11/23/2006,$47.64
240,The Barsac of the Blue Steam-Powered Rulers,Nelson Lowdwell,Open-architected actuating analyzer,9/27/1975,$54.64
241,The Blood that Embraced the Chance,Arlan Kynnd,Upgradable global architecture,12/20/2003,$48.49
242,What the Best College Teachers Do,Clo Gustus,Face to face client-server framework,7/19/1996,$27.75
243,Fifty Shades Trilogy: Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed,Catriona Lygo,Ameliorated reciprocal instruction set,6/28/2015,$22.22
244,Secret Missions of the Civil War,Dorey Gerardot,Total optimal capacity,8/11/2015,$13.35
245,A Pizza To Die For,Arron Elcombe,User-friendly secondary data-warehouse,12/27/1968,$31.97
246,City of the Dead: A Claire DeWitt Mystery,Chery Calcutt,Programmable even-keeled conglomeration,7/22/2006,$36.41
247,A Rogue Elephant's Guide to Success: The World according to Clinton,Tommi Bousquet,Face to face bi-directional hardware,12/4/1981,$54.24
248,The New Military Humanism,Winnifred Leffek,Secured zero tolerance knowledge user,7/5/1983,$42.43
249,The Holy Bible: Old and New Testaments,Shellysheldon Briers,Virtual background paradigm,12/3/1993,$49.08
250,The Thing Into,Genevieve Garces,Re-contextualized empowering software,1/31/1978,$51.94
251,Came by Alexander,Torrin Bondy,Self-enabling analyzing application,8/21/1999,$33.94
252,BSS: Manage Your Boss,Irvine Standage,Switchable object-oriented toolset,4/27/2014,$44.08
253,The Prophet,Timoteo McKoy,Enterprise-wide methodical structure,8/6/1990,$42.74
254,The Awakening,Arlena Montes,Decentralized client-driven orchestration,11/28/1999,$19.93
255,Crossing the Science,Cass Beagin,Seamless coherent application,4/14/2000,$10.35
256,Saw to Ride,Horatius MacIlraith,Up-sized optimal protocol,10/23/1997,$44.01
257,Natural Enemies,Robenia Longhurst,Universal asynchronous pricing structure,7/26/1971,$11.04
258,The Moscow Puzzles,Gloria Farnall,Sharable stable pricing structure,2/20/2017,$39.94
259,The Image of the City,Marybeth O'Daly,Innovative analyzing project,7/27/1959,$31.67
260,The Night Sessions,Loren Mayoh,Innovative global hierarchy,12/18/1979,$40.63
261,The Works of Edgar Allan Poe,Tadd Wisher,Versatile interactive application,2/19/2017,$7.23
262,To Desire a Wicked Duke: A Rouge Regency Romance,Janella MacCorkell,Centralized logistical application,5/23/1964,$28.21
263,The Cosmic Daylight Beast,Christos Stote,Grass-roots high-level info-mediaries,3/2/1976,$40.98
264,The Making of the English Working Class,Anatol Winson,Versatile contextually-based infrastructure,8/1/1958,$36.11
265,The Treasures's Wyatt,Mufinella Thraves,Sharable real-time Graphical User Interface,5/20/1976,$54.09
266,Earth Afire,Crosby Fordy,Pre-emptive 24 hour frame,11/3/1986,$12.24
267,Parlor of Discovery,Rowena Klain,Configurable systematic firmware,7/30/1951,$7.19
268,The Silent Girls,Prent Cornels,Devolved zero administration collaboration,2/7/1985,$41.16
269,The Quest the Reckless Killed,Amble Grevatt,Streamlined fresh-thinking capacity,11/29/1984,$29.70
270,Let Me Be Frank With You,Angelina Barhems,Balanced client-server functionalities,12/23/1957,$22.90
271,The End of the Nation State,Terese Skewis,Centralized zero tolerance paradigm,1/9/2014,$30.28
272,Priestess is Uncommon,Kakalina Pennyman,Team-oriented reciprocal project,2/26/2000,$51.54
273,The Scarlet Pimpernel,Marcos Raper,Sharable solution-oriented help-desk,4/29/1975,$12.84
274,Marauder,Siffre Treverton,Secured logistical matrices,7/28/1961,$12.17
275,Silver Inverness of Coast,Roanne Setterington,Enhanced grid-enabled projection,7/15/1957,$41.04
276,Marching Powder,Westbrooke Hamblen,Sharable static Graphic Interface,7/8/1997,$33.90
277,Captain Underpants and the Wrath of the Wicked Wedgie Women,Brockie Huband,Grass-roots user-facing groupware,10/16/1996,$47.48
278,House Of God,Solly Millson,Persevering bottom-line concept,11/13/2012,$24.99
279,The Tsan-Lo With the Silver Hitler,Mort Shewsmith,Horizontal multi-tasking software,1/5/1966,$45.91
280,Dying the Zamboula,Gabie Conyard,Virtual encompassing definition,5/11/1996,$46.56
281,The Creative Destruction of Medicine,Domini Doughty,User-friendly upward-trending website,1/1/2001,$8.18
282,One Night: Promised,Susanne Bringloe,Optional mobile application,3/18/1980,$15.34
283,Childhood,Calvin Fitt,Function-based dynamic leverage,7/24/1982,$17.40
284,Zamboula Ran,Tony Rylance,Digitized asynchronous implementation,10/13/2012,$26.39
285,Influence,Henka Ferandez,Versatile multi-state customer loyalty,7/25/2003,$29.03
286,The Cold Circus,Kean Bruyns,Enterprise-wide bifurcated policy,4/27/2016,$45.81
287,The Power of Now: A Guide to Spiritual Enlightenment,Rennie Harbison,Down-sized non-volatile portal,10/22/1957,$19.26
288,The Insects In the Bloodstained Book,Mitch Pearcey,User-friendly analyzing framework,9/22/1952,$47.98
289,The Shadow the Madness Lied,Roxie Scholes,Customizable real-time knowledge base,11/6/1987,$33.36
290,Imaginary Dog,Farra Bester,Universal regional Graphical User Interface,1/6/1971,$35.38
291,The Spanish Billionaire's Hired Bride,Warner Heppner,Reduced 5th generation open system,9/26/1984,$17.04
292,The Deception that Saw the Beasts,Tandie Louys,Operative upward-trending product,1/17/1982,$48.45
293,The Pink Fairy Book,Tulley Klugel,Networked optimal approach,7/15/1981,$5.55
294,Fighter! Fighter! Corkscrew Port!: Vivid Memories of Bomber Aircrew in World War Two,Tressa Leither,Multi-channelled bottom-line structure,7/16/1994,$27.07
295,The Reluctant Husband,Van Viscovi,Persevering fresh-thinking customer loyalty,7/8/1981,$22.98
296,Forgot Metronome,Goober Fishbourn,Organic 24/7 concept,11/19/1961,$12.97
297,Consuming Dracula,Daniel Gouck,Grass-roots foreground encoding,12/15/2012,$14.41
298,Once We Were Brothers,Carlo Arthur,Configurable global knowledge base,10/31/1973,$50.51
299,Into the Child of the Radient Book,Larry Aldam,Front-line leading edge access,5/26/2013,$40.72
300,The Great Coverup: Nixon and the Scandal of Watergate,Nanny Doelle,Profound systemic orchestration,3/16/1960,$12.07
301,The Cupid of Two Bloodline,Merilyn Carroll,Centralized real-time flexibility,1/22/1962,$34.71
302,Flying The Big Jets (4th Edition),Maria Minogue,Multi-channelled even-keeled pricing structure,10/4/1992,$20.04
303,Desired (Book #5 in the Vampire Journals),Hughie Margrett,Proactive motivating success,2/25/2000,$48.50
304,Chemistry With Calvin,Alair Tallet,De-engineered fresh-thinking function,11/10/1986,$48.87
305,Aztec Vials of Path,Rasla Aucourte,Up-sized secondary process improvement,3/16/1976,$11.20
306,Falling for Mr. Wrong: A Bencher Family Book,Brucie Pavy,Pre-emptive optimizing methodology,7/25/1970,$54.50
307,The Return,Celestia Whiscard,Inverse modular complexity,12/23/1982,$11.45
308,Quiet Nights,Liane Stormont,Adaptive context-sensitive flexibility,1/23/2016,$46.97
309,Unfaithful Snake of Dracula,Cacilia Lenglet,Virtual interactive ability,12/18/2013,$32.81
310,The Elements of Journalism,Stacia Olorenshaw,Streamlined zero administration strategy,7/22/1969,$47.68
311,Wolf and the Dove,Fanchette Izhak,Distributed multimedia utilisation,1/17/2007,$28.55
312,Chasing Trouble (a Chasing Love novel),Angelika Bram,Polarised modular moderator,12/6/1959,$14.75
313,Frozen Stiff,Ajay Chasemore,Exclusive background capability,12/3/1967,$34.97
314,A My Sleep In Tomb,Marchelle McCartney,Polarised 6th generation toolset,10/17/1975,$21.55
315,Flame in Special Dracula,Merv McCrudden,Business-focused full-range projection,7/6/1959,$52.25
316,Insurgent,Sandi Karp,Centralized background strategy,5/26/1990,$9.21
317,Holy Bible Text Edition NLT,Jewell D'Angeli,Inverse local migration,3/21/1962,$45.49
318,The Edge of Souls Tree,Lurline Oslar,Customizable national superstructure,2/19/1991,$21.92
319,On the Corrupt Rulers,Samson Mantram,Universal reciprocal forecast,3/7/1976,$20.79
320,TowerInsects,Ulla Cogswell,Business-focused 4th generation initiative,1/31/1965,$40.87
321,The Nothing Above the Woodcarver,Netty Barwis,Mandatory leading edge local area network,7/15/1987,$26.60
322,Seventeen Contradictions and the End of Capitalism,Cyndy Goudman,Integrated encompassing ability,2/14/1971,$41.30
323,The Deception of Iron Dome,Earl Driffill,Switchable motivating attitude,3/1/1978,$53.88
324,The Peripheral,Meade Smittoune,Focused static alliance,5/8/1969,$20.70
325,Keeping Faith,Tracey Chastelain,Open-source full-range challenge,3/29/1957,$19.36
326,The Carhart Series (An Enhanced Box Set),Ab Lickorish,Configurable fresh-thinking database,11/25/1956,$38.43
327,Inferno,Geoffry Gianetti,Proactive global conglomeration,9/13/1970,$48.96
328,Promise of Blood,Honor Elijah,Adaptive demand-driven attitude,11/26/1985,$27.59
329,The Secret to Success,Hermine Abel,Extended motivating implementation,11/10/1973,$17.39
330,Force Under Weaving Mars,Sherilyn Bawle,Visionary eco-centric moratorium,11/14/2002,$52.58
331,Vowed (Book #7 in the Vampire Journals),Burtie Cheeld,Inverse systematic encoding,1/2/1961,$23.95
332,Ran Hand,Nolana Bucksey,Seamless zero defect encryption,12/11/1971,$26.93
333,The Naked Duke,Clementius McKew,Object-based heuristic initiative,2/12/1990,$51.84
334,Dusk of Fire,Quill Cowpland,Focused clear-thinking circuit,4/23/2005,$28.52
335,Tomb Out of Lead Eye,Eduard Body,Reactive logistical solution,8/15/1972,$31.40
336,Presumed Guilty,Bernard Sartain,Optimized client-server database,5/11/1976,$11.40
337,The Intention and the Atlantis,Winthrop Labitt,Multi-lateral optimal open architecture,5/24/2016,$10.20
338,A Moment of Passion,Denny Bispo,Reactive methodical portal,10/29/1989,$6.56
339,10 Easy Steps to Strategic Planning,Dominick Burdge,Multi-lateral secondary moratorium,8/1/1961,$18.89
340,Curse of the Phoenix Bundle,Cynthea Rostron,Down-sized grid-enabled array,5/26/1986,$15.14
341,Breaking Dawn,Liam Jeannel,Progressive system-worthy parallelism,3/12/2013,$41.30
342,The Cthulhu's Devil,Berke Matthaus,Mandatory incremental customer loyalty,8/23/1989,$44.72
343,Finding Hope,Waldemar Gossart,Stand-alone intangible portal,4/24/1975,$7.31
344,The What Waits that Laughed the Inheritance,Burch Pester,Implemented full-range solution,12/26/1998,$9.71
345,You Can't Make This Up,Jany Selland,Robust full-range attitude,10/17/1999,$39.54
346,U.S. Navy SEALs,Adey Ridsdole,Assimilated background emulation,3/31/1985,$34.85
347,The Logic of Practice,Hughie Yves,Customer-focused heuristic alliance,5/7/1974,$37.15
348,Silent Victim,Dulcia Skermer,User-friendly foreground moderator,5/16/1982,$54.08
349,Eight Days to Live,Devondra Domico,Switchable holistic portal,3/26/1973,$17.43
350,Dimensional Shell of Comb,Jethro Chafney,Inverse cohesive structure,1/13/1972,$31.53
351,The God Delusion,Konrad Goldring,Fully-configurable neutral emulation,12/31/1971,$40.68
352,Style in the Technical and Tectonic Arts,Merci Errichelli,Pre-emptive scalable budgetary management,12/22/2005,$30.10
353,Nico's Fire,Roseanne Morsey,Customer-focused discrete middleware,7/22/2006,$43.58
354,The Elusive Wife,Town Godrich,Optimized heuristic interface,9/11/1969,$53.09
355,The Evolution of Cooperation,Abbe Hynard,Upgradable composite standardization,12/4/1999,$13.43
356,The Slave Next Door,Rod McFetridge,Inverse neutral open architecture,3/14/1966,$44.81
357,A Taste of Desire,Frants Hynes,Decentralized full-range internet solution,9/7/1954,$6.75
358,Chemistry With Calvin,Lilith Gobell,Total eco-centric matrices,7/5/1974,$39.04
359,Conquering Pirate,Marlow Paolozzi,Grass-roots leading edge website,8/26/1985,$50.42
360,Down and Dirty,Sarena Grouvel,Vision-oriented web-enabled forecast,12/31/1975,$48.41
361,Quinn,Aurlie Torrisi,De-engineered disintermediate policy,1/11/1970,$6.33
362,The Prophet,Brose Goalley,Vision-oriented solution-oriented knowledge user,2/2/1981,$7.81
363,Captive Bride,Delano Cordelette,User-friendly 4th generation customer loyalty,6/8/1962,$27.81
364,A Savage Sleepers On Shambler,Errol O'Howbane,Object-based tertiary concept,8/20/1956,$28.89
365,The Cruel Sea,Lyle Muttock,Reduced multimedia paradigm,8/23/1951,$7.82
366,Revenge Owns Mesa,Jasmine Lymer,Object-based well-modulated strategy,6/28/2006,$37.45
367,BETTIE PAGE 2: Adult Foto Files 2,Raeann Gratrex,Re-engineered asymmetric website,1/7/1955,$29.99
368,The Baron's Betrayal (Entangled Scandalous),Sherri Dubs,Cross-group explicit capacity,8/26/1968,$11.05
369,Learning The World,Teresa Hadlington,Grass-roots client-driven application,9/24/1999,$15.04
370,The New York Irish,Padraic Ramstead,Public-key object-oriented paradigm,6/17/2009,$48.53
371,High Heat: (A Jack Reacher Novella),Ado Nelthorp,Networked discrete flexibility,7/5/1957,$38.92
372,On the Road,Brigid Cleaveland,Streamlined foreground concept,10/22/2011,$33.52
373,The Other America,Christiane Condon,Future-proofed radical local area network,1/17/1950,$40.70
374,Through the Bible in One Year: A 52 Lesson Introduction to the 66 Books of the Bible,Philis Peracco,Organized human-resource core,5/16/1970,$6.81
375,After a Jewels with a Bloodline,Bernice Hoffmann,Integrated foreground emulation,9/3/1988,$6.59
376,Genesis,Farica Fermor,Ameliorated composite workforce,3/12/2001,$23.02
377,Bloodline in Shattered Nothing,Robby Eiler,Team-oriented mission-critical adapter,4/28/1957,$12.66
378,The Girl Next Door,Iorgos Prater,Inverse intermediate task-force,4/14/2009,$21.96
379,The Nowhere At the Hall,Kayne Fitzpayn,Sharable executive methodology,7/16/1979,$23.65
380,Toad Into Destroying Rules,Renae Corey,Open-architected dynamic functionalities,9/19/1962,$13.78
381,Beyond the Cotswold of the Hidden Monster-God,Tandy Alred,Configurable dedicated artificial intelligence,5/31/2014,$39.74
382,The Beast Above the Ticket,Tomi Soutter,Realigned next generation knowledge user,4/26/1981,$17.35
383,Dark Nightmare,Brittni Cadigan,Digitized context-sensitive groupware,10/24/1968,$7.96
384,The Season In,Norrie Di Lucia,Streamlined neutral customer loyalty,5/24/1963,$30.54
385,Shakespeare Cylinder,Flossie McGee,Persevering bi-directional monitoring,1/13/2011,$33.68
386,Eight Days to Live,Butch Burnitt,Re-contextualized fresh-thinking application,11/9/1951,$26.17
387,The Silent Twenty Hall,Shani Rooney,Seamless 4th generation forecast,2/28/1954,$35.78
388,Daylight,Efren Marfe,Front-line dynamic task-force,4/7/2004,$40.61
389,Changed by Sealed,Dennie Thoms,Adaptive interactive throughput,10/6/1979,$23.07
390,Hungry Like the Wolf,Danica Pointer,Persistent non-volatile contingency,7/16/1986,$24.45
391,The Vampiric Angelo,Dyna Sedgebeer,Synergized even-keeled focus group,1/24/1971,$44.71
392,The Loner: Brutal Vengeance,Phineas Freckleton,Re-contextualized high-level data-warehouse,4/12/2014,$17.13
393,Darkness in Dancing Zamboula,Rafi Killough,User-centric optimizing strategy,11/26/1960,$46.78
